index,title,crate,raw_path_repr,normalized_path,reason,error
63,Dil Tote Tote Ho Gaya (Bichhoo),Indian%%DanceFloor,'Users/diora/Downloads/Dil Tote Tote Ho Gaya (Bichhoo).mp3',/Users/diora/Downloads/Dil Tote Tote Ho Gaya (Bichhoo).mp3,file_not_found,
66,Chura Ke Dil Mera - Main Khiladi Tu Anari 320 Kbps,Indian%%DanceFloor,'Users/diora/Downloads/Chura Ke Dil Mera - Main Khiladi Tu Anari 320 Kbps.mp3',/Users/diora/Downloads/Chura Ke Dil Mera - Main Khiladi Tu Anari 320 Kbps.mp3,file_not_found,
71,Husn Hai Suhana (Coolie No.1),Indian%%DanceFloor,'Users/diora/Downloads/Husn Hai Suhana (Coolie No.1).mp3',/Users/diora/Downloads/Husn Hai Suhana (Coolie No.1).mp3,file_not_found,
74,Dholna-Shubha-Mudgal-Sukhwindara-Singh,Indian%%DanceFloor,'Users/diora/Downloads/Dholna-Shubha-Mudgal-Sukhwindara-Singh.mp3',/Users/diora/Downloads/Dholna-Shubha-Mudgal-Sukhwindara-Singh.mp3,file_not_found,
91,05. Bhare Bazaar (Official Remix) DJ Shadow Dubai(RemixMaza.In),Indian%%DanceFloor,'Users/diora/Downloads/05. Bhare Bazaar (Official Remix) DJ Shadow Dubai(RemixMaza.In).mp3',/Users/diora/Downloads/05. Bhare Bazaar (Official Remix) DJ Shadow Dubai(RemixMaza.In).mp3,file_not_found,
93,Sawan Mein Lag Gayi Aag (Remix) - DJ Chirag Dubai,Indian%%DanceFloor,'Users/diora/Downloads/Sawan Mein Lag Gayi Aag (Remix) - DJ Chirag Dubai.mp3',/Users/diora/Downloads/Sawan Mein Lag Gayi Aag (Remix) - DJ Chirag Dubai.mp3,file_not_found,
95,Sweety Tera Drama - Official Extended Remix - DJ Notorious,Indian%%DanceFloor,'Users/diora/Downloads/Sweety Tera Drama - Official Extended Remix - DJ Notorious.mp3',/Users/diora/Downloads/Sweety Tera Drama - Official Extended Remix - DJ Notorious.mp3,file_not_found,
103,Salaam Namaste (Dhol Mix) (Salaam Namaste),Indian%%DanceFloor,'Users/diora/Downloads/Salaam Namaste (Dhol Mix) (Salaam Namaste).mp3',/Users/diora/Downloads/Salaam Namaste (Dhol Mix) (Salaam Namaste).mp3,file_not_found,
104,Suit (Guru Randhawa Ft. Arjun) - DJ Harsh Bhutani & DJ Vipul Khurana Remix,Indian%%DanceFloor,'Users/diora/Downloads/Suit (Guru Randhawa Ft. Arjun) - DJ Harsh Bhutani & DJ Vipul Khurana Remix.mp3',/Users/diora/Downloads/Suit (Guru Randhawa Ft. Arjun) - DJ Harsh Bhutani & DJ Vipul Khurana Remix.mp3,file_not_found,
105,Tera Rang Balle Balle Lyrical  Bobby Deol  Preity Zinta  Jaspinder Narula  Sonu Nigam  90s Hits,Indian%%DanceFloor,'Users/diora/Downloads/Tera Rang Balle Balle Lyrical  Bobby Deol  Preity Zinta  Jaspinder Narula  Sonu Nigam  90s Hits.mp3',/Users/diora/Downloads/Tera Rang Balle Balle Lyrical  Bobby Deol  Preity Zinta  Jaspinder Narula  Sonu Nigam  90s Hits.mp3,file_not_found,
106,Kar Gayi Chull (Bhangra Mix)  Sidharth  Alia  Fawad  Badshah  Amaal  Fazilpuria  Tesher,Indian%%DanceFloor,'Users/diora/Downloads/Kar Gayi Chull (Bhangra Mix)  Sidharth  Alia  Fawad  Badshah  Amaal  Fazilpuria  Tesher.mp3',/Users/diora/Downloads/Kar Gayi Chull (Bhangra Mix)  Sidharth  Alia  Fawad  Badshah  Amaal  Fazilpuria  Tesher.mp3,file_not_found,
