title,path,crate
HUGEL-David-Guetta-Kehlani-Daecolm-Think-Of-Me-120-3B,Users/rohan/Downloads/Music/HUGEL-David-Guetta-Kehlani-Daecolm-Think-Of-Me-120-3B.mp3,Reception Dancefloor%%Rap
HUGEL-SOLTO-FR-Jamaican-Bam-Bam-ATCG-Edit-128-8A,Users/rohan/Downloads/Music/HUGEL-SOLTO-FR-Jamaican-Bam-Bam-ATCG-Edit-128-8A.mp3,Reception Dancefloor%%Rap
Sister-Nancy-Bam-Bam-Federico-Bolletta-5HOURS-Remix-124-8A,Users/rohan/Downloads/Music/Sister-Nancy-Bam-Bam-Federico-Bolletta-5HOURS-Remix-124-8A.mp3,Reception Dancefloor%%Rap
J-Balvin-Willy-William-Mi-Gente-ATGC-Remix-122-9A,Users/rohan/Downloads/Music/J-Balvin-Willy-William-Mi-Gente-ATGC-Remix-122-9A.mp3,Reception Dancefloor%%Rap
Tyla - Water (CK Intro - Clean) 3A 117,Users/rohan/Downloads/Music/Tyla - Water (CK Intro - Clean) 3A 117.mp3,Reception Dancefloor%%Rap
Teejay-Davido-Drift-Remix-Intro-Clean-100-7A,Users/rohan/Downloads/Music/Teejay-Davido-Drift-Remix-Intro-Clean-100-7A.mp3,Reception Dancefloor%%Rap
WizTheMc-bees-honey-Take-My-Mind-Radio-Edit-114-2A,Users/rohan/Downloads/Music/WizTheMc-bees-honey-Take-My-Mind-Radio-Edit-114-2A.mp3,Reception Dancefloor%%Rap
Burna-Boy-Dont-Let-Me-Drown-113-12B,Users/rohan/Downloads/Music/Burna-Boy-Dont-Let-Me-Drown-113-12B.mp3,Reception Dancefloor%%Rap
Nicki-Minaj-FTCU-Booty-Patrol-Remix-Dirty-140-2A,Users/rohan/Downloads/Music/Nicki-Minaj-FTCU-Booty-Patrol-Remix-Dirty-140-2A.mp3,Reception Dancefloor%%Rap
The Weeknd - The Hills - Diego Druck Remix (Dirty),Users/rohan/Downloads/Music/The Weeknd - The Hills - Diego Druck Remix (Dirty).mp3,Reception Dancefloor%%Rap
Jack-Harlow-Lovin-On-Me-Hiram-Edit-Dirty-113-6A,Users/rohan/Downloads/Music/Jack-Harlow-Lovin-On-Me-Hiram-Edit-Dirty-113-6A.mp3,Reception Dancefloor%%Rap
Justin-Bieber-YUKON-DJU-DJU-Remix-102-11A,Users/rohan/Downloads/Music/Justin-Bieber-YUKON-DJU-DJU-Remix-102-11A.mp3,Reception Dancefloor%%Rap
